,Creation Time,Latency,Arrival Time,Source,Destination,Block ID,QueueTime,TxTime,PropTime,Block Index
1196,0.07257009459498925,0.3720756625418889,0.44464575713687815,"Malaga, Spain",Mauritius,0_10_140,0.0005452937052132928,0.005000055985099084,0.3665303128515762,140
291,0.07305623209039007,0.20828072687963312,0.2813369589700232,"Malaga, Spain",Mauritius,0_10_141,0.000956558595175433,0.0028402218632188805,0.20448394642123902,141
576,0.07398078554421737,0.2628059543228661,0.33678673986708346,"Malaga, Spain",Mauritius,0_10_142,0.0004625206090052153,0.0035456932989972154,0.2587977404148636,142
1092,0.07442860220040609,0.3509440230663477,0.4253726252667538,"Malaga, Spain",Mauritius,0_10_143,0.00017613281439840534,0.004749973924450639,0.3460179163274984,143
74,0.0746047350148045,0.12724055892869313,0.20184529394349762,"Malaga, Spain",Mauritius,0_10_144,0.0004629623538368183,0.0017011585826230344,0.12507643799223342,144
298,0.07506769736864131,0.2079829433295562,0.2830506406981975,"Malaga, Spain",Mauritius,0_10_145,0.001033896574814272,0.002774888814110363,0.20417415794063165,145
460,0.07609121731789051,0.24041072980533498,0.3165019471232255,"Malaga, Spain",Mauritius,0_10_146,0.0006272236952204885,0.003234289612588581,0.23654921649752597,146
239,0.076718441013111,0.19090767891209837,0.26762611992520935,"Malaga, Spain",Mauritius,0_10_147,0.00020406748347082115,0.0026296410532006104,0.1880739703754271,147
59,0.07692250849658182,0.11754830510843443,0.19447081360501625,"Malaga, Spain",Mauritius,0_10_148,0.0005819374662831556,0.0015917126855136163,0.11537465495663775,148
46,0.07750444596286497,0.10877963675705833,0.1862840827199233,"Malaga, Spain",Mauritius,0_10_149,0.0005128307736304988,0.001469516878842484,0.10679728910458548,149
11,0.07781840785517728,0.056750133261065,0.13456854111624228,"Malaga, Spain",Mauritius,0_10_150,0.0002770788696790788,0.0007455638660622834,0.055727490525323664,150
407,0.07809548672485636,0.22816059264062907,0.30625607936548543,"Malaga, Spain",Mauritius,0_10_151,0.0002709843881759516,0.0030778581152918812,0.22481175013716145,151
242,0.07829547394088261,0.1899807474920825,0.2682762214329651,"Malaga, Spain",Mauritius,0_10_152,0.0005094435514280682,0.002593514929031212,0.18687778901162339,152
39,0.07880491749231068,0.09555975871097992,0.1743646762032906,"Malaga, Spain",Mauritius,0_10_153,0.0005932141329268031,0.001294615473875874,0.09367192910417736,153
436,0.07939813162523748,0.23354395784463347,0.31294208946987095,"Malaga, Spain",Mauritius,0_10_154,0.0002539152063686795,0.003144413816753346,0.2301456288215116,154
1480,0.07951407200532419,0.4303694745466439,0.5098835465519681,"Malaga, Spain",Mauritius,0_10_155,0.00029139823444887525,0.00598997265029966,0.4240881036618953,155
33,0.07980547023977307,0.08689128646959539,0.16669675670936845,"Malaga, Spain",Mauritius,0_10_156,0.0002202967449295018,0.0011535710792653423,0.08551741864540059,156
197,0.08002576698470257,0.17496572672824853,0.2549914937129511,"Malaga, Spain",Mauritius,0_10_157,0.000912042166954119,0.0023491233156889483,0.17170456124560554,157
980,0.08086259457749626,0.32354386343363495,0.4044064580111312,"Malaga, Spain",Mauritius,0_10_158,0.0011919959771037603,0.004295252776377016,0.31805661468015395,158
200,0.0819731171399185,0.17391426583572678,0.2558873829756453,"Malaga, Spain",Mauritius,0_10_159,0.0005692546505027957,0.0023887820599496463,0.1709562291252744,159
574,0.0825423717904213,0.2538272493777955,0.3363696211682168,"Malaga, Spain",Mauritius,0_10_160,0.001011042263625958,0.0033926946671892673,0.2494235124469802,160
439,0.08355341405404726,0.229852703733476,0.31340611778752325,"Malaga, Spain",Mauritius,0_10_161,0.0004450860360686315,0.0032514363013509224,0.22615618139605648,161
278,0.08399850009011589,0.19465607910749494,0.27865457919761083,"Malaga, Spain",Mauritius,0_10_162,0.0008748140134746951,0.0025905646931946324,0.19119070040082564,162
413,0.08469042125798243,0.22245066229675425,0.3071410835547367,"Malaga, Spain",Mauritius,0_10_163,0.00044065684193535237,0.0030426261327676707,0.21896737932205126,163
394,0.08513107809991778,0.21821458257711138,0.30334566067702917,"Malaga, Spain",Mauritius,0_10_164,0.00032830744945809565,0.0030087661860615845,0.21487750894159177,164
1291,0.08545938554937588,0.37862720932662075,0.4640865948759966,"Malaga, Spain",Mauritius,0_10_165,0.0002468860085551444,0.005261895101359334,0.37311842821670604,165
267,0.08567915824590015,0.18903654643293005,0.2747157046788302,"Malaga, Spain",Mauritius,0_10_166,0.0005559944613190287,0.0025935149290312125,0.18588703704257994,166
